,A,B,C,D,E,F
A,0.252071059447,0.0515390734462,0.0296103318802,0.237998007197,0.0416050135348,0.15609312684
B,0.130743567596,0.157312232568,0.0197204586908,0.178589346421,0.0291334346748,0.0515888356331
C,0.118338234232,0.0706964216948,0.107075282319,0.131418621982,0.0447627492303,0.0255995750812
D,0.094552244144,0.0670614680527,0.0,0.269750857517,0.042350864341,0.0177134764851
E,0.205736260135,0.0987344641663,0.0529164667096,0.10363798671,0.181541561844,0.0683596749743
F,0.158960735622,0.0287306609533,0.0152830208414,0.11592929734,0.158934892498,0.0791112192045
Apop,0.0491384883761,0.0033382765584,0.037576296937,0.0133211878915,0.0227011441386,0.00111466363139
Bpop,0.0252766621324,0.00261955705919,0.00144652033044,0.0594879836605,0.0332555311335,0.0479862347847
Total users,0.230841027545,0.117181883151,0.0836880282228,0.184690354277,0.150731220796,0.183080861608
Temperature,0.103988666107,0.0241162008967,0.0,0.191474401572,0.117075219534,0.0864007845026
Conditions,0.0560205385282,0.0,0.0367252254605,0.0227088870247,0.0312969103475,0.0834240768491
Time index,0.128562652103,0.132758135687,0.07970338815,0.0805710200561,0.135662934529,0.110685988004
