,A,B,C,D,E,F
A,0.725758465757,0.316041770413,0.46810127568,0.450645633567,0.451507169552,0.388948004803
B,0.307958153194,0.519762980545,0.266100588889,0.424732260264,0.417559030751,0.227136316651
C,0.362741683535,0.334541761559,0.44594640151,0.317441332526,0.371013805363,0.276972606236
D,0.412534241411,0.532991656003,0.263842468837,0.573229108779,0.564323796446,0.261569997266
E,0.431112474088,0.475409372133,0.313520362314,0.530202396713,0.512611223242,0.29291749212
F,0.330333563097,0.192670913681,0.352319182735,0.330306723664,0.331794057291,0.341103357929
Apop,0.330705155445,0.267512806878,0.321672165031,0.301865168653,0.228523108887,0.193982177659
Bpop,0.218822043526,0.216606691194,0.192369953741,0.3379192149,0.149486961611,0.208130926061
Total users,0.757337259813,0.530810190607,0.525928929603,0.665274479935,0.536073066986,0.551648026645
Temperature,0.357665531093,0.312381832188,0.174504432747,0.365334402234,0.268422355598,0.241280797764
Conditions,0.468036068308,0.178174651892,0.135882471436,0.0684280864402,0.0328978160883,0.114624706616
Time index,0.477891427027,0.400480932613,0.446719259159,0.494421544812,0.462609219174,0.458405850315
