,A,B,C,D,E,F
A,0.750891180526,0.287876183752,0.415746540077,0.444687317563,0.423197265775,0.373667411252
B,0.312286847336,0.524907794338,0.266721896909,0.448727934154,0.440892836896,0.232613436907
C,0.355642969839,0.328655132272,0.481617206862,0.313221965762,0.322729190474,0.262220238386
D,0.389473298837,0.515705935455,0.2458546268,0.590270358816,0.493863652962,0.288299735501
E,0.472008246246,0.473438477438,0.292233712472,0.532331088465,0.592248746508,0.313352053517
F,0.324836102025,0.193621843694,0.327370129938,0.360326399402,0.330552703197,0.380129496268
Apop,0.325769924246,0.268081474445,0.225815073376,0.306953415937,0.214863317965,0.201276479283
Bpop,0.301382919588,0.235539329934,0.200310264493,0.299837746288,0.175671920438,0.228175253568
Total users,0.755500420109,0.548262779324,0.528673269134,0.66923157734,0.534654282554,0.528609155904
Temperature,0.336373731355,0.26315902479,0.135335922785,0.368911474494,0.312052267227,0.323929349228
Conditions,0.38832055102,0.0517395487445,0.086496610678,0.163672094343,0.0391905672865,0.0815962387259
Time index,0.473272448895,0.389638387554,0.469927434267,0.499635999049,0.47387786326,0.461689672719
