,A,B,C,D,E,F
A,0.208981840771,0.0644379078394,0.0277953030737,0.213881046315,0.0727674734559,0.115240854131
B,0.111600008915,0.158361657451,0.0391518289767,0.184517539193,0.0343234824659,0.034158362701
C,0.109517183437,0.0350727395504,0.179600609286,0.0838537785688,0.0462618515668,0.0338891771021
D,0.118670020995,0.126091963179,0.0611823955401,0.284280049044,0.0322351903457,0.0
E,0.147650079774,0.1094224057,0.0,0.118023621609,0.199808892217,0.0444520576399
F,0.146970140315,0.0130648458548,0.0717800714124,0.0961201222237,0.11177602684,0.0725663335617
Apop,0.0813596148574,0.0,0.0195400419569,0.111588010288,9.74493856893e-05,0.0218105344803
Bpop,0.0984050905603,0.0,0.0,0.0693304066228,0.0,0.0
Total users,0.215968185327,0.12150498709,0.0821380721326,0.200402950998,0.188933423863,0.185826525673
Temperature,0.0670221093688,0.0711004366598,0.0568394542271,0.090440844191,0.0669219344411,0.086280382018
Conditions,0.0,0.0,0.0,0.0290097186035,0.0,0.0134535234184
Time index,0.1309748521,0.132376378709,0.0805431464938,0.103157392188,0.138934333539,0.113102759242
