,A,B,C,D,E,F
A,0.150483554748,0.0882677513859,0.123146060778,0.0,0.137675152629,0.0919681207166
B,0.0760703488339,0.167200751439,0.0716606442382,0.067786414482,0.0335954471566,0.110218874523
C,0.118236307719,0.0368080498091,0.188069958713,0.0,0.0174069503374,0.0774637068884
D,0.0813708241073,0.0448047848871,0.0770629195665,0.13383394328,0.0264358080171,0.00567735792524
E,0.099010759145,0.0801469631993,0.0161743483319,0.0503832594218,0.174105925653,0.0665487260296
F,0.0785920341731,0.0688363656773,0.0910982215716,0.0153159594675,0.0,0.176274488677
Apop,0.0386390449126,0.0161991344727,0.0,0.0292668778083,0.0,0.0547734563173
Cpop,0.0726973439302,0.0,0.0104046410846,0.00644392517739,0.0,0.0605073736412
Total users,0.204820488905,0.139551646597,0.0750760832831,0.133067492558,0.185288580756,0.112942240496
Temperature,0.0745044406959,0.0784702060654,0.0205043724985,0.0163783509386,0.0240264427284,0.0534984167218
Conditions,0.0512148934759,0.022459374126,0.00934582404731,0.0,0.0,0.0335625675078
Time index,0.117166819681,0.0934284170321,0.10110550359,0.0638481161707,0.156484989642,0.141934338324
