,A,B,C,D,E,F
A,0.182535720376,0.102818803711,0.103225598422,0.0,0.122993826532,0.0953151467944
B,0.105867858463,0.146302864034,0.0508287840253,0.031965704828,0.0533302333917,0.116375229355
C,0.0579061245278,0.0483703746834,0.162552664327,0.0,0.0261036559042,0.0733684419259
D,0.0771297012663,0.0391510100214,0.0379286129764,0.137834966818,0.0327097911498,0.0231639484298
E,0.0967674739695,0.0521205110202,0.0,0.0217803321799,0.125710892051,0.059701762322
F,0.0650251884492,0.0506343448888,0.110243054149,0.0,0.0,0.181068168916
Apop,0.0393364163279,0.0124248535187,0.0403016755602,0.0458559526592,0.0,0.0438744313821
Cpop,0.030304112997,0.0,0.028569596705,0.0,0.0,0.0697493815467
Total users,0.1968159705,0.150091726561,0.0744344867536,0.126751123893,0.183698405133,0.129072084347
Temperature,0.0462454891363,0.065350362232,0.00439254397784,0.0,0.0074945462898,0.0731167350089
Conditions,0.0476213359592,0.0331316289472,0.0,0.0,0.0,0.00874387472593
Time index,0.117866243587,0.0806887998234,0.0982581133146,0.0729988823124,0.161737665982,0.153015827084
