,A,B,C,D,E,F
A,0.20823329721,0.118055945004,0.1386586601,0.0,0.142886632129,0.0837852534117
B,0.0876921394619,0.10189504641,0.0636985104369,0.0263930556245,0.0297141003893,0.112964275908
C,0.108926707862,0.0,0.188320324274,0.00476311699994,0.0203710952441,0.0789925288742
D,0.107377007599,0.0261526025481,0.0267030997162,0.0965698358897,0.0604565183336,0.0864367737771
E,0.106462492343,0.0870110033348,0.0117333950856,0.00473134015246,0.137892885229,0.0865993300886
F,0.107228454096,0.0632547313595,0.100824336956,0.0115308279001,0.0,0.155075556459
Apop,0.085915494466,0.00398888898193,0.0277461647196,0.0256033041601,0.00241218232957,0.0713067840175
Cpop,0.0,0.0,0.0,0.0,0.0,0.00538754393605
Total users,0.195352932854,0.147306848771,0.0865804847393,0.108387372593,0.209131663742,0.121832367293
Temperature,0.0103597042582,0.0709094900344,0.0518551147941,0.0147562143017,0.0,0.0171890407818
Conditions,0.0,0.011800633909,0.0,0.0,0.0,0.0
Time index,0.107166883434,0.103428792346,0.117208476438,0.0723970020354,0.160536253193,0.138300274479
