,A,B,C,D,E,F
A,0.214116253084,0.110069774096,0.0731345075304,0.0,0.154028018116,0.093230149163
B,0.0853457129702,0.149321816155,0.0897511968051,0.0,0.0722016612039,0.106598757907
C,0.0722726859179,0.0149515887387,0.184154907845,0.0,0.0,0.0768260877576
D,0.0535044416653,0.036369419937,0.02949706584,0.0979337146071,0.0669317331404,0.0630540053813
E,0.0863815338176,0.034450247326,0.0262716552212,0.0,0.144195682222,0.104095251529
F,0.130138777441,0.0581845832559,0.0623547488624,0.0200703878336,0.0,0.177808583811
Apop,0.100970032705,0.0,0.0415748094472,0.0686202368626,0.000719251663136,0.00917138119226
Cpop,0.0623916233048,0.0,0.0059303247863,0.0409071893579,0.0,0.0778407102002
Total users,0.209920154558,0.142391231553,0.101637034876,0.13504079961,0.186081772488,0.108638615499
Temperature,0.0744733736093,0.0553819271191,0.0327619839577,0.0523560333626,0.0440662307659,0.0905414800893
Conditions,0.00643410213658,0.00467889726602,0.0,0.0192908021584,0.00175108482908,0.0
Time index,0.127516795955,0.0994399768681,0.0764458546487,0.069397781999,0.166945814663,0.157886218692
