A,B,C,D,E,F
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.3333333333333333,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.3333333333333333,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.3333333333333333,0.0,0.0,0.0,0.0,0.0
0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.6666666666666666
0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.6666666666666666,0.0,0.0,0.0,0.0
0.0,0.6666666666666666,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.3333333333333333,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.3333333333333333,0.0,0.0,0.0
0.0,0.0,0.3333333333333333,0.0,0.0,0.0
0.0,0.3333333333333333,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.3333333333333333
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333
0.0,0.0,0.6666666666666666,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0.3333333333333333
0.0,0.0,1.3333333333333333,0.0,0.0,0.3333333333333333
0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666
1.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666
0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333
0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333
0.0,0.0,0.3333333333333333,0.0,0.0,0.0
0.0,0.0,0.3333333333333333,0.0,0.0,0.0
0.0,0.3333333333333333,0.0,0.0,0.0,0.0
0.6666666666666666,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333
0.0,0.0,1.3333333333333333,0.0,0.3333333333333333,0.0
0.3333333333333333,0.0,1.0,0.0,1.0,0.6666666666666666
0.3333333333333333,0.0,1.0,0.0,1.6666666666666667,3.0
0.3333333333333333,0.3333333333333333,1.0,0.0,2.0,6.333333333333333
1.3333333333333333,0.0,0.3333333333333333,1.0,1.6666666666666667,5.333333333333333
4.333333333333333,1.3333333333333333,2.3333333333333335,4.666666666666667,2.3333333333333335,1.6666666666666667
9.0,3.0,3.6666666666666665,3.3333333333333335,3.6666666666666665,4.333333333333333
13.333333333333334,3.3333333333333335,1.6666666666666667,2.6666666666666665,3.3333333333333335,2.6666666666666665
9.333333333333334,2.6666666666666665,2.3333333333333335,1.6666666666666667,3.3333333333333335,2.6666666666666665
10.666666666666666,3.3333333333333335,4.0,2.0,4.333333333333333,3.6666666666666665
14.0,2.3333333333333335,3.3333333333333335,5.0,5.666666666666667,3.6666666666666665
13.666666666666666,3.0,3.6666666666666665,3.0,5.0,3.6666666666666665
9.666666666666666,5.333333333333333,4.333333333333333,4.333333333333333,1.6666666666666667,3.6666666666666665
13.666666666666666,7.333333333333333,3.3333333333333335,7.0,2.0,3.3333333333333335
15.666666666666666,2.6666666666666665,4.0,3.6666666666666665,5.0,4.333333333333333
16.333333333333332,2.3333333333333335,3.3333333333333335,1.3333333333333333,3.6666666666666665,3.0
15.333333333333334,1.6666666666666667,3.0,1.6666666666666667,2.3333333333333335,2.0
15.0,3.3333333333333335,3.6666666666666665,5.0,3.6666666666666665,2.0
18.666666666666668,2.6666666666666665,5.0,6.0,2.6666666666666665,5.333333333333333
21.0,0.3333333333333333,3.3333333333333335,7.333333333333333,1.6666666666666667,5.0
19.0,1.6666666666666667,5.333333333333333,5.666666666666667,3.3333333333333335,4.0
16.666666666666668,3.0,4.333333333333333,3.3333333333333335,1.3333333333333333,3.0
14.333333333333334,2.0,3.6666666666666665,2.6666666666666665,2.3333333333333335,3.0
15.0,2.6666666666666665,4.666666666666667,2.6666666666666665,2.0,1.0
17.0,2.3333333333333335,2.0,3.3333333333333335,1.0,0.6666666666666666
15.666666666666666,1.3333333333333333,3.0,4.333333333333333,2.3333333333333335,1.0
14.333333333333334,1.6666666666666667,2.3333333333333335,6.0,3.3333333333333335,1.3333333333333333
14.333333333333334,4.333333333333333,4.666666666666667,2.3333333333333335,4.0,2.6666666666666665
8.333333333333334,3.0,3.6666666666666665,2.0,2.3333333333333335,3.3333333333333335
8.666666666666666,2.3333333333333335,4.0,3.6666666666666665,2.6666666666666665,2.0
1.6666666666666667,1.6666666666666667,3.0,1.3333333333333333,2.0,1.3333333333333333
3.0,2.3333333333333335,1.6666666666666667,0.3333333333333333,1.3333333333333333,0.3333333333333333
6.0,0.6666666666666666,1.0,0.6666666666666666,1.6666666666666667,1.0
3.3333333333333335,0.3333333333333333,1.3333333333333333,1.0,0.3333333333333333,0.0
2.3333333333333335,0.0,1.3333333333333333,0.6666666666666666,0.0,2.3333333333333335
1.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.3333333333333333
0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333
0.0,0.0,0.0,0.3333333333333333,0.0,0.0
0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333
0.0,0.0,0.0,0.6666666666666666,0.0,0.0
0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.3333333333333333,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333
0.0,0.0,0.0,0.0,0.0,0.3333333333333333
0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333
0.0,0.0,1.0,0.0,0.0,0.6666666666666666
0.0,0.0,1.6666666666666667,0.0,0.6666666666666666,0.3333333333333333
0.3333333333333333,0.0,2.0,0.0,0.0,0.6666666666666666
0.0,0.0,1.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
0.3333333333333333,0.0,0.0,1.0,1.0,1.0
0.0,0.0,0.0,0.6666666666666666,1.0,0.6666666666666666
0.3333333333333333,0.0,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333
0.3333333333333333,0.0,0.0,0.6666666666666666,1.0,0.3333333333333333
1.3333333333333333,0.3333333333333333,0.0,1.0,0.0,1.0
0.0,0.6666666666666666,0.0,1.3333333333333333,0.3333333333333333,0.3333333333333333
1.0,0.6666666666666666,0.0,1.0,0.0,0.3333333333333333
1.0,1.6666666666666667,0.0,0.3333333333333333,1.0,1.0
0.6666666666666666,0.6666666666666666,0.0,0.0,1.3333333333333333,0.3333333333333333
1.6666666666666667,0.6666666666666666,1.0,1.6666666666666667,1.3333333333333333,0.3333333333333333
2.0,1.6666666666666667,0.3333333333333333,1.0,2.0,1.3333333333333333
4.333333333333333,2.3333333333333335,1.0,0.3333333333333333,1.0,0.6666666666666666
1.0,1.3333333333333333,1.3333333333333333,2.0,1.0,0.3333333333333333
1.3333333333333333,2.6666666666666665,0.6666666666666666,1.0,1.6666666666666667,0.0
1.6666666666666667,0.3333333333333333,0.0,0.0,2.0,1.3333333333333333
3.6666666666666665,2.0,1.0,1.3333333333333333,1.3333333333333333,2.6666666666666665
4.666666666666667,2.3333333333333335,1.0,0.6666666666666666,5.333333333333333,0.0
3.6666666666666665,1.6666666666666667,1.0,4.333333333333333,3.6666666666666665,1.3333333333333333
2.6666666666666665,5.333333333333333,1.3333333333333333,2.3333333333333335,3.6666666666666665,1.0
3.3333333333333335,2.6666666666666665,1.0,4.0,2.0,1.3333333333333333
5.333333333333333,4.333333333333333,1.0,4.0,2.0,0.6666666666666666
5.333333333333333,6.0,0.3333333333333333,4.333333333333333,4.666666666666667,0.6666666666666666
8.333333333333334,7.666666666666667,0.3333333333333333,4.0,6.0,2.3333333333333335
4.333333333333333,6.666666666666667,1.0,4.666666666666667,6.333333333333333,1.6666666666666667
3.3333333333333335,6.333333333333333,0.6666666666666666,7.666666666666667,5.666666666666667,2.0
4.333333333333333,3.6666666666666665,0.6666666666666666,7.0,6.666666666666667,5.333333333333333
5.333333333333333,5.333333333333333,1.3333333333333333,5.666666666666667,4.666666666666667,2.6666666666666665
6.0,5.0,2.6666666666666665,5.666666666666667,3.6666666666666665,5.0
5.0,4.333333333333333,1.3333333333333333,4.666666666666667,3.3333333333333335,5.333333333333333
8.333333333333334,2.3333333333333335,3.0,3.0,3.3333333333333335,3.6666666666666665
7.0,3.6666666666666665,0.6666666666666666,5.333333333333333,5.0,2.6666666666666665
7.666666666666667,4.333333333333333,0.6666666666666666,5.333333333333333,4.666666666666667,0.3333333333333333
4.666666666666667,4.333333333333333,2.0,7.0,5.0,3.0
5.333333333333333,6.0,2.3333333333333335,8.0,3.0,0.3333333333333333
10.666666666666666,4.0,2.6666666666666665,5.333333333333333,2.3333333333333335,2.3333333333333335
11.333333333333334,1.6666666666666667,2.3333333333333335,3.3333333333333335,2.6666666666666665,2.6666666666666665
9.666666666666666,3.0,1.6666666666666667,5.0,0.3333333333333333,1.6666666666666667
12.333333333333334,3.6666666666666665,2.0,4.333333333333333,1.0,0.6666666666666666
9.0,1.6666666666666667,2.0,5.0,3.3333333333333335,1.3333333333333333
13.0,1.6666666666666667,1.3333333333333333,1.0,1.3333333333333333,1.6666666666666667
7.333333333333333,2.3333333333333335,1.3333333333333333,1.3333333333333333,3.3333333333333335,1.0
5.0,3.0,1.6666666666666667,3.3333333333333335,5.666666666666667,0.0
4.333333333333333,3.6666666666666665,1.3333333333333333,3.0,5.666666666666667,0.0
7.0,4.0,2.6666666666666665,6.0,3.0,1.0
9.333333333333334,3.3333333333333335,3.0,6.333333333333333,3.3333333333333335,1.0
5.0,1.3333333333333333,3.0,4.666666666666667,2.6666666666666665,1.0
5.333333333333333,2.0,3.6666666666666665,4.666666666666667,1.3333333333333333,0.3333333333333333
5.0,3.0,3.0,3.6666666666666665,3.6666666666666665,1.3333333333333333
4.333333333333333,2.3333333333333335,2.0,3.3333333333333335,1.0,1.6666666666666667
4.0,3.0,2.3333333333333335,1.6666666666666667,2.3333333333333335,1.0
4.333333333333333,1.6666666666666667,0.6666666666666666,3.6666666666666665,2.3333333333333335,0.3333333333333333
3.0,1.0,1.3333333333333333,1.6666666666666667,3.0,2.0
2.3333333333333335,0.3333333333333333,0.6666666666666666,2.3333333333333335,3.0,1.3333333333333333
0.0,0.6666666666666666,0.3333333333333333,2.3333333333333335,1.0,0.6666666666666666
0.3333333333333333,1.3333333333333333,0.0,2.0,0.0,1.0
0.6666666666666666,1.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666
0.0,0.0,0.0,0.6666666666666666,0.0,0.0
0.0,0.0,0.3333333333333333,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.3333333333333333
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.3333333333333333,0.0,0.0,1.3333333333333333
0.3333333333333333,0.6666666666666666,0.0,0.0,1.3333333333333333,1.3333333333333333
1.6666666666666667,0.6666666666666666,0.3333333333333333,0.0,1.6666666666666667,1.6666666666666667
2.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666
4.0,0.0,0.0,0.3333333333333333,1.6666666666666667,0.0
4.666666666666667,0.6666666666666666,0.6666666666666666,2.0,0.3333333333333333,1.0
7.333333333333333,0.0,0.3333333333333333,1.3333333333333333,1.0,3.0
6.333333333333333,0.0,0.6666666666666666,0.3333333333333333,1.3333333333333333,3.0
6.333333333333333,0.3333333333333333,1.0,1.3333333333333333,0.0,0.6666666666666666
6.666666666666667,0.3333333333333333,1.0,1.0,1.3333333333333333,0.3333333333333333
8.333333333333334,0.3333333333333333,0.0,1.6666666666666667,0.3333333333333333,0.6666666666666666
7.666666666666667,0.3333333333333333,1.6666666666666667,2.3333333333333335,0.6666666666666666,0.6666666666666666
6.666666666666667,0.3333333333333333,0.3333333333333333,3.3333333333333335,1.0,1.3333333333333333
5.666666666666667,1.6666666666666667,0.3333333333333333,2.6666666666666665,2.3333333333333335,1.0
4.0,1.3333333333333333,1.3333333333333333,2.0,2.6666666666666665,0.3333333333333333
3.3333333333333335,1.6666666666666667,1.3333333333333333,2.0,2.3333333333333335,1.0
